"ensembl_id","symbol","baseMean","log2FoldChange","pvalue","padj"
"ENSG00000099953.10","MMP11",24227.7857157717,6.27843103914917,0,0
"ENSG00000101605.13","MYOM1",558.889325000349,-4.7645466532941,0,0
"ENSG00000117650.13","NEK2",1468.3513324908,4.25392017454547,0,0
"ENSG00000119927.14","GPAM",4817.81687364203,-4.43075094056268,0,0
"ENSG00000123500.10","COL10A1",8543.66149641561,7.12801474084131,0,0
"ENSG00000230838.1","LINC01614",303.860048070261,5.56060761508017,3.97451142442143e-293,1.73109845090676e-289
"ENSG00000022267.19","FHL1",9080.932003535,-5.0310997406583,1.18489142831525e-284,4.42353824230891e-281
"ENSG00000079308.19","TNS1",15044.3989944548,-3.11120142194403,2.14879897993511e-278,7.01932046783054e-275
"ENSG00000060718.22","COL11A1",12049.1376385618,6.20027218955055,1.72085551151125e-273,4.99679078692484e-270
"ENSG00000090889.12","KIF4A",1539.16857590476,3.85343950450468,9.99186121666472e-259,2.61117309175099e-255
"ENSG00000133800.9","LYVE1",751.268961504351,-4.9831830108668,3.01577110065384e-257,7.16464965212606e-254
"ENSG00000127564.17","PKMYT1",921.623584212575,4.00694997847291,7.33453981504142e-252,1.59727940822065e-248
"ENSG00000203805.11","PLPP4",479.133014009501,4.99036731645789,4.15630240615333e-243,8.3551269830773e-240
"ENSG00000105974.13","CAV1",8544.7325166159,-3.3886399024356,2.96072893310662e-238,5.52662351491967e-235
"ENSG00000134962.7","KLB",365.170235104598,-4.71161583401154,9.61828405430911e-237,1.67569744794173e-233
"ENSG00000095637.22","SORBS1",6575.49692638986,-3.66972461130065,2.3335554130507e-236,3.81142522557837e-233
"ENSG00000170145.5","SIK2",3674.39643285541,-2.4420423226535,1.55247393769541e-234,2.38651773022319e-231
"ENSG00000183856.11","IQGAP3",2243.93218580324,3.70718217189635,1.43927479246786e-231,2.08958711953125e-228
"ENSG00000169418.10","NPR1",1171.37780595709,-3.61504854472438,4.6744735125475e-231,6.42936927912652e-228
"ENSG00000173641.18","HSPB7",973.817849462535,-5.15602395228461,1.82652702676478e-228,2.3866315395222e-225
"ENSG00000163815.6","CLEC3B",443.077927451355,-3.99756692216378,6.56743338528034e-228,8.17270174559671e-225
"ENSG00000056998.20","GYG2",2244.37393988385,-4.1251056004323,2.17912059798553e-225,2.58849811759799e-222
"ENSG00000181856.15","SLC2A4",272.741616622247,-4.64314431017746,6.21339264118002e-225,7.0597647779112e-222
"ENSG00000120049.20","KCNIP2",762.922018111394,-5.04546805345317,4.01429735006713e-223,4.37106802705435e-220
"ENSG00000131471.7","AOC3",4773.64904706634,-3.99489840752125,1.72359826805494e-222,1.80171174156319e-219
"ENSG00000175063.17","UBE2C",2249.50657927912,4.18946170401708,2.5503674239377e-222,2.56341353422169e-219
"ENSG00000029559.7","IBSP",162.938516061155,6.96459075777208,2.9253207485878e-220,2.83138544899425e-217
"ENSG00000158402.20","CDC25C",342.214192839456,3.41285660608087,3.0776892106492e-219,2.87247329078199e-216
"ENSG00000088325.16","TPX2",4450.53243391196,3.57348991529921,1.04189761222346e-218,9.38893458628821e-216
"ENSG00000123612.16","ACVR1C",564.123534284745,-5.21053622484327,1.75673269116239e-217,1.53028984727156e-214
"ENSG00000105011.9","ASF1B",1514.38929708109,3.06208826652142,3.75663437995153e-217,3.16684278229914e-214
"ENSG00000143228.13","NUF2",1003.01443390107,3.78269757527786,8.96283428109086e-217,7.31955463336711e-214
"ENSG00000276043.5","UHRF1",1235.17159074842,3.35145323419501,3.77357115080624e-216,2.98832529951575e-213
"ENSG00000025423.11","HSD17B6",294.477215847731,3.01873338182064,1.52751226878234e-211,1.17407288588497e-208
"ENSG00000172901.20","LVRN",147.10917338881,-5.05599129925075,1.6699194889724e-211,1.24685731443759e-208
"ENSG00000077152.11","UBE2T",1330.99377443776,3.21632680131798,4.1206459358372e-211,2.99124556225648e-208
"ENSG00000152253.9","SPC25",417.44456421853,2.81837758387267,9.54104532740063e-211,6.73881452813407e-208
"ENSG00000135437.10","RDH5",83.2496135854338,-4.21342772674772,9.3545744542369e-210,6.4332393213835e-207
"ENSG00000123485.12","HJURP",873.729365417561,3.53413394053011,2.00889926538549e-209,1.346117038521e-206
"ENSG00000148180.21","GSN",36571.6884380651,-2.56860086943604,3.09982096874864e-208,2.0251905344077e-205
"ENSG00000145708.11","CRHBP",62.1407195027383,-3.89377940273496,1.44586277962729e-206,9.21578829756096e-204
"ENSG00000165410.15","CFL2",1301.61783580543,-2.25504474321049,8.78940083530032e-205,5.46889076259293e-202
"ENSG00000137745.12","MMP13",1683.14162643215,6.20182445349598,6.13891021963684e-204,3.7308869946458e-201
"ENSG00000166803.14","PCLAF",371.692721894427,3.25274763252843,7.73148349991985e-204,4.59197405235013e-201
"ENSG00000076555.15","ACACB",3696.50442763595,-3.66370955466939,8.08840060205924e-204,4.6972038429692e-201
"ENSG00000124743.6","KLHL31",281.781735464115,-3.86278790340938,1.26142800463753e-202,7.16628218373752e-200
"ENSG00000170312.16","CDK1",2622.02281236888,3.16520992740425,2.99020404325633e-200,1.66261706941314e-197
"ENSG00000169607.13","CKAP2L",623.961307252682,3.35708774626217,7.94442124404649e-200,4.32524084105556e-197
"ENSG00000115306.16","SPTBN1",21392.5593161662,-2.04230112462596,1.52299118176168e-199,8.12251603122002e-197
"ENSG00000279204.1",NA,48.4325146781269,-3.61430791416456,1.13739664019714e-197,5.94471727965436e-195
